elocator,title,author_folder,status,doi_status,final_path,final_sha256
e045,"Mathematical Modelling of Residential Electricity Demand for Peak-Load Reduction in Nigeria: A Demand-Response Optimisation Framework Calibrated to Dota Community, Gwagwalada",ABDULRAHMAN_Abdulsalam_A,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/ABDULRAHMAN_Abdulsalam_A/e045/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e045_Mathematical_Modelling_of_Residential_Electricity_Demand_for_Peak_Load_Reduction_in_Nigeria_A_Demand.docx,39739C4F1899638F36CE1ACA1E5084F4C8A689064A0F7A5E34A5A80AF57950D7
e050,Coupled Mathematical Modelling of Building Envelope and Cooling-Efficiency Standards for Nigerian Multi-Unit Housing: An Abuja-Calibrated BEEC–SONMELS Predictive Scenario Framework,ABDULRAHMAN_Abdulsalam_A__CHIA_Shiaondo_Kenneth,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/ABDULRAHMAN_Abdulsalam_A__CHIA_Shiaondo_Kenneth/e050/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e050_Coupled_Mathematical_Modelling_of_Building_Envelope_and_Cooling_Efficiency_Standards_for_Nigerian_Multi_Unit.docx,8A780C74E7D1EEF7270F5B62E557477A09624DA31BA6BEFBEAD53ACFE4A216C9
e032,"Establishment of a Mean Body-Measurement Chart for School Uniforms and Accessories of Primary-School Children Aged 6–12 Years in Jos, Plateau State, Nigeria: An Anthropometric and Prototype-Development Study",AKILA_Lydia_Kachollom__AGBO_D_A,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/AKILA_Lydia_Kachollom__AGBO_D_A/e032/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e032_Establishment_of_a_Mean_Body_Measurement_Chart_for_School_Uniforms_and_Accessories_of_Primary.docx,A0A34DC194B45DA1AD39E3A1CC18B420F0E091096EB01864415A4D2E10B35C4B
e039,"Textile Upcycling, Family Empowerment and Circular Livelihoods in Jos North, Nigeria: Empirical Evidence from 100 Upcycling Households",AKILA_Lydia_Kachollom__AGBO_D_A,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/AKILA_Lydia_Kachollom__AGBO_D_A/e039/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e039_Textile_Upcycling_Family_Empowerment_and_Circular_Livelihoods_in_Jos_North_Nigeria_Empirical_Evidence_from.docx,A996244CCC9E4E5E40F3ED554F666A2962837A0A539777BAEE6C7255EEDE6EB9
e035,Optimizing Primary-School Uniform Mass Production Through Computer-Aided Basic-Block Development: A Reproducible Parametric Grading and Marker-Planning Experiment,AKILA_Lydia_Kachollom__MWANLE_Godiya_Chindang__USMAN_Mariya_Mohammed,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/AKILA_Lydia_Kachollom__MWANLE_Godiya_Chindang__USMAN_Mariya_Mohammed/e035/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e035_Optimizing_Primary_School_Uniform_Mass_Production_Through_Computer_Aided_Basic_Block_Development_A_Reproducibl.docx,F52B2EAB09D55BB32AA07D47B2CB562EC175E05BCA58560F08A5046F239EC764
e040,"Digital Transformation in Clothing Technology: Awareness, Practical Adoption and Barriers to Computer-Aided Design among Tailors in Jos Metropolis, Nigeria",AKILA_Lydia_Kachollom__ZONGORO_Anisah_Jacks,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/AKILA_Lydia_Kachollom__ZONGORO_Anisah_Jacks/e040/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e040_Digital_Transformation_in_Clothing_Technology_Awareness_Practical_Adoption_and_Barriers_to_Computer_Aided_Desi.docx,FAE9F3E2667C2110EB0D1530D3324AC6D433E002B0FCC4DC1D181BB7959DD42A
e042,Artificial Intelligence and Smart Border Surveillance for Intellectual Property Rights Enforcement at Nigeria’s Land Borders: A Critical Evidence Review and Responsible Implementation Framework,AMENGER_Gbaden,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/AMENGER_Gbaden/e042/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e042_Artificial_Intelligence_and_Smart_Border_Surveillance_for_Intellectual_Property_Rights_Enforcement_at_Nigerias.docx,6909666EB7878340EA06319E4BA3065666A6F9B555D761E8300C686563D3599D
e043,"From Risk Profiles to Counterfeit Interception: AI-Enabled Customs Risk Targeting, Geospatial Intelligence and Non-Intrusive Inspection at Nigeria’s Land Borders",AMENGER_Gbaden,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/AMENGER_Gbaden/e043/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e043_From_Risk_Profiles_to_Counterfeit_Interception_AI_Enabled_Customs_Risk_Targeting_Geospatial_Intelligence_and.docx,A0BA56725F272010B5BFBD25F24A6F5D4E1A026FC3186E1762FC047E2416620C
e044,"Resilient Hybrid Power Architecture for 24/7 Nigeria Customs Land-Border Operations: Grid, Solar PV, Battery Storage and Generator Coordination",AMENGER_Gbaden,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/AMENGER_Gbaden/e044/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e044_Resilient_Hybrid_Power_Architecture_for_24_7_Nigeria_Customs_Land_Border_Operations_Grid_Solar.docx,7106DD69864177C1FA797B9689138152DB0D1C7AF8B07D8E289BB58D266BB92A
e026,Prompt Engineering for Reliable Large-Language-Model Interaction: From Instruction Design and Grounding to Evaluation and Prompt-Injection Resilience,CHIA_Shiaondo_Kenneth,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/CHIA_Shiaondo_Kenneth/e026/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e026_Prompt_Engineering_for_Reliable_Large_Language_Model_Interaction_From_Instruction_Design_and_Grounding_to.docx,8BC72D87E06294982FB5156224BFF00E0F31A00E6FCEC6B342E60B4B780C5AD8
