elocator,title,status,doi_status,issn_status,manuscript,pdf
e026,Prompt Engineering for Reliable Large-Language-Model Interaction: From Instruction Design and Grounding to Evaluation and Prompt-Injection Resilience,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e026/manuscript/CHIATECH_JOURNAL_2026_V1I1_e026_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e026_PIONEER_PART2.pdf
e027,"Explainable Deep Reinforcement Learning in Robotics: A Taxonomy of Explanations, Evaluation Criteria and Safety-Critical Deployment",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e027/manuscript/CHIATECH_JOURNAL_2026_V1I1_e027_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e027_PIONEER_PART2.pdf
e028,Microlearning for Faculty TPACK Development in Higher Education: An Evidence-Informed Design and Evaluation Framework,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e028/manuscript/CHIATECH_JOURNAL_2026_V1I1_e028_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e028_PIONEER_PART2.pdf
e029,"Augmented-Reality-Enhanced Problem-Based Learning in STEM Education: Mechanisms, Evidence and an Implementation Framework for Engagement and Critical Thinking",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e029/manuscript/CHIATECH_JOURNAL_2026_V1I1_e029_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e029_PIONEER_PART2.pdf
e030,"Teaching Further Mathematics in Nigerian Secondary Schools: An Evidence-Informed Multi-Pedagogy Framework for Problem Solving, Inquiry, Technology and Collaboration",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e030/manuscript/CHIATECH_JOURNAL_2026_V1I1_e030_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e030_PIONEER_PART2.pdf
e031,Integrating Defensive and Offensive Cybersecurity Education: A Lab-Based Competency Framework for Workforce-Ready Learning,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e031/manuscript/CHIATECH_JOURNAL_2026_V1I1_e031_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e031_PIONEER_PART2.pdf
e032,"Establishment of a Mean Body-Measurement Chart for School Uniforms and Accessories of Primary-School Children Aged 6–12 Years in Jos, Plateau State, Nigeria: An Anthropometric and Prototype-Development Study",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e032/manuscript/CHIATECH_JOURNAL_2026_V1I1_e032_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e032_PIONEER_PART2.pdf
e033,"Integrating Business Intelligence and Data Mining for Venture Capital Assessment of Technology Startups: Hybrid Predictive Analytics, Explainable Risk Scoring and Real-Time Signals",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e033/manuscript/CHIATECH_JOURNAL_2026_V1I1_e033_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e033_PIONEER_PART2.pdf
e034,"Accounting Practices, Digitalisation and Financial-Risk Analytics among Informal Small Businesses in Gwagwalada, Abuja: An Empirical Accounting Data-Science Study",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e034/manuscript/CHIATECH_JOURNAL_2026_V1I1_e034_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e034_PIONEER_PART2.pdf
e035,Optimizing Primary-School Uniform Mass Production Through Computer-Aided Basic-Block Development: A Reproducible Parametric Grading and Marker-Planning Experiment,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e035/manuscript/CHIATECH_JOURNAL_2026_V1I1_e035_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e035_PIONEER_PART2.pdf
